Name,Tags,Select,Files & media,Text
Chilli Garlic Noodles,Classics,"Chilli, Chilli crisp, Egg Noodles, Garlic, Ginger, Gochujang Paste, Mayonnaise, Rice wine Vinegar, Soy Sauce, Spring Onion",https://www.instagram.com/reel/C53j30prcYB/?igsh=dHNnY2QxZjlyMGQx,
Crispy Pan Fried Fish,Emerging Favourites,"Flour, Fresh Parsley, Frozen Green Beans, Lemon, Milk, Nutmeg, Paprika Smokey, Paprika Sweet, Potato, White Fish",https://www.instagram.com/p/BVVlf1CjiIb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Courgette “Lasagna”,Emerging Favourites,"Breadcrumbs, Courgette, Flour, Gammon, Garlic, Grated Cheese, Milk, Olives, Onion, Provolone",https://www.instagram.com/reel/ChKo2WuDeYO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Chickpea Pita,Emerging Favourites,"Canned Chickpeas, Frozen Peppers, Garlic, Kunserva, Onion, Paprika Smokey, Paprika Sweet, Pitas",https://www.instagram.com/reel/CuXiplVKuA7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Gochujang Noodles,"Asian, Emerging Favourites","Broccoli, Dumplings, Egg Noodles, Gochujang Paste, Honey, Lime, Miso Paste, Rice wine Vinegar, Sesame Seeds, Soy Sauce, Spring Onion, Tahini",https://www.instagram.com/reel/CxGX_2GKiCb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Samkeh Harra (Fish in Tahini sauce),Emerging Favourites,"Almonds, Chilli, Fresh Coriander, Garlic, Lemon, Paprika Smokey, Paprika Sweet, Sesame Oil, Sesame Seeds, Tahini, White Fish",https://www.instagram.com/reel/CuZit8tA-WS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Thai Green Noodles,"Asian, Emerging Favourites","Canned Coconut Milk, Carrot, Frozen Green Beans, Frozen Peppers, Green Curry Paste, Rice Noodles, Soy Sauce",https://www.instagram.com/reel/C145V87tYiY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Smashed Burgers,Emerging Favourites,"Beef Mince, Buns, Cheddar, Lettuce, Onion, Potato",https://www.instagram.com/reel/C3F_Ro-JrZk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Pad Kra Pao,"Asian, Emerging Favourites","Beef Mince, Chilli, Chinese Five Spice, Eggs, Fish Sauce, Fresh Basil, Garlic, Honey, Onion, Oyster Sauce, Rice, Sesame Oil, Soy Sauce, Spring Onion",https://www.instagram.com/reel/C0MlM1FrLYA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Saag,"Classics, Indian","Coriander Powder, Cumin, Curry Powder, Fresh Tomatos, Frozen Spinach, Garlic, Ginger, Lemon, Onion, Turmeric, Vegetable Stock, Yogurt",https://www.instagram.com/p/CMBH1JGgXan/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Burger Wraps,Classics,"Beef Mince, Fresh Tomatos, Onion, Tortillas, Yogurt",https://www.instagram.com/reel/CnnIeNRqq2b/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Thai Drunken Noodles,"Asian, Classics","Chicken Thighs, Chilli, Fish Sauce, Fresh Basil, Garlic, Ginger, Honey, Onion, Oyster Sauce, Rice Noodles, Soy Sauce, Spring Onion",https://www.instagram.com/p/B4rNKPwHEAK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Chicken Laksa,"Asian, Classics","Canned Coconut Milk, Chicken Drumsticks, Chicken Stock, Chilli, Curry Paste, Egg Noodles, Fish Sauce, Fresh Coriander, Frozen Green Beans, Garlic, Ginger, Sweet Corn",https://www.instagram.com/p/CJjtpxgAaul/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Peanut & Sweetcorn Fritters,Classics,"Baking Soda, Cornflour, Eggs, Flour, Fresh Coriander, Peanut Butter, Peanuts, Sesame Oil, Soy Sauce, Spring Onion, Sweet Corn",https://www.instagram.com/p/CNUX66YA_Jx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
"Samosa Pie ","Classics, Indian","Cauliflower, Coriander Powder, Curry Powder, Fennel Seeds, Frozen Peas, Frozen Spinach, Garlic, Ginger, Lime, Onion, Pastry, Potato, Spring Onion, Turmeric, Vegetable Stock",https://www.instagram.com/tv/CSo7mWwIO79/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Aubergine Katsu Curry,"Asian, Classics","Aubergine, Carrot, Cornflour, Curry Powder, Eggs, Garam Masala, Garlic, Ginger, Honey, Lemon, Onion, Panko Breadcrumbs, Sesame Oil, Sesame Seeds, Soy Sauce, Spring Onion, Vegetable Stock",https://www.instagram.com/tv/CBlTVnCIpkK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Chicken Satay Curry,"Asian, Classics","Canned Coconut Milk, Cayenne Pepper, Chicken Stock, Chicken Thighs, Coriander Powder, Cumin, Curry Powder, Garlic, Honey, Lime, Onion, Paprika Smokey, Paprika Sweet, Peanut Butter, Peanuts, Soy Sauce, Turmeric",https://www.instagram.com/tv/CY9hPTeB-he/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Butter Chicken,"Classics, Indian","Butter, Cashew Nuts, Cayenne Pepper, Chicken Breast, Coriander Powder, Cumin, Fresh Coriander, Fresh Parsley, Fresh Tomatos, Garam Masala, Garlic, Ginger, Lemon, Onion, Yogurt",https://www.instagram.com/reel/CmldeiFtlmV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Pad Thai,"Asian, Classics","Brown Sugar, Cayenne Pepper, Chicken Breast, Eggs, Fish Sauce, Garlic, Lime, Onion, Oyster Sauce, Peanuts, Rice Noodles, Spring Onion, Tamarind Puree",https://www.instagram.com/reel/C3Epq0xvtlW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Coconut Daal,"Classics, Indian","Black Peppercorn, Canned Coconut Milk, Canned Tomatoes, Cayenne Pepper, Curry Powder, Fresh Coriander, Fresh Parsley, Frozen Peas, Garlic, Ginger, Onion, Red Lentils, Turmeric, Yogurt",https://www.instagram.com/p/CNmJK6KgxB0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Chettinad Chicken Curry,"Classics, Indian","Bay Leaf, Black Peppercorn, Canned Tomatoes, Cardamom, Chicken Thighs, Chilli, Cinnamon, Cloves, Coriander Powder, Cumin, Fennel Seeds, Garlic, Ginger, Grated Coconut, Lemon, Onion, Turmeric",https://www.instagram.com/reel/C3TKZSnIAdn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Salmon En Croute,Expensive,"Eggs, Frozen Spinach, Garlic, Onion, Pastry, Red Pesto, Salmon Fillet",https://www.instagram.com/tv/CKjp_uND7uD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Salmon Curry,Expensive,"Canned Coconut Milk, Cayenne Pepper, Coriander Powder, Fresh Tomatos, Garlic, Ginger, Mustard Seeds, Onion, Salmon Fillet, Turmeric","https://www.instagram.com/reel/CbMpTguj-tq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==, Food%20Recipe%20Database/120083105_327270108526346_6165661042044694454_n.jpg",
Octopus Stew,Expensive,"Apple, Garlic, Grated Cheese, Octopus, Olives, Onion, Parsley, Tomato Passata, Tomato Paste, Walnuts",Food%20Recipe%20Database/200240197_479696646474582_1898840812846660961_n.jpg,
Daal Makhani,"Classics, Indian","Cayenne Pepper, Garam Masala, Garlic, Rice, Tomato Passata, Tomato Paste, Turmeric",https://www.instagram.com/reel/Cg81H_CoQpr/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Dry Rub Chicken,Classics,"Allspice, Cardamom, Cayenne Pepper, Chicken Drumsticks, Cornflour, Garlic powder, Ginger, Nutmeg, Paprika Smokey, Paprika Sweet",https://www.instagram.com/p/B_fRMlHAB8V/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Pasta Carbonara,"Classics, Pasta","Eggs, Hard cheese, Pancetta, Pasta",https://www.instagram.com/reel/CcA0GOwlcwk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Burnt Leeks & Cannellini Bean Soup,"Classics, Soup","Bread, Cannellini Beans, Flour, Garlic, Leeks, Milk, Nutritional Yeast, Rosemary, White Wine",https://www.instagram.com/reel/CvR14mcqGB5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
Chilli in a Taco Shell,Classics,"Bell Peppers, Black Beans, Chilli, Coriander Powder, Cumin, Fresh Tomatos, Garlic, Kidney Beans, Lime, Onion, Paprika Smokey, Paprika Sweet, Parsley, Rice, Tomato Passata, Tomato Paste, Tortillas",https://www.instagram.com/tv/COaKK23NWlB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
